wl,n
3.6496,1.694
3.6630,1.694
3.6765,1.693
3.6900,1.692
3.7037,1.692
3.7175,1.691
3.7313,1.690
3.7453,1.690
3.7594,1.689
3.7736,1.688
3.7879,1.687
3.8023,1.687
3.8168,1.686
3.8314,1.685
3.8462,1.684
3.8610,1.684
3.8976,1.683
3.8911,1.683
3.9063,1.682
3.9216,1.681
3.9370,1.680
3.9526,1.679
3.9683,1.678
3.9841,1.677
4.0000,1.676
4.0161,1.676
4.0323,1.675
4.0486,1.674
4.0650,1.674
4.0816,1.673
4.0984,1.672
4.1152,1.672
4.1322,1.671
4.1494,1.670
4.1667,1.670
4.1841,1.669
4.2017,1.668
4.2194,1.667
4.2373,1.667
4.2553,1.666
4.2735,1.665
4.2918,1.664
4.3103,1.663
4.3290,1.662
4.3478,1.660
4.3668,1.659
4.3860,1.658
4.4053,1.657
4.4248,1.656
4.4444,1.655
4.4643,1.654
4.4843,1.653
4.5045,1.652
4.5249,1.651
4.5455,1.650
4.5662,1.649
4.5872,1.647
4.6083,1.646
4.6296,1.645
4.6512,1.644
4.6729,1.643
4.6948,1.642
4.7170,1.642
4.7393,1.641
4.7619,1.639
4.7847,1.638
4.8077,1.637
4.8309,1.636
4.8544,1.634
4.8780,1.633
4.9020,1.633
4.9261,1.632
4.9505,1.631
4.9751,1.629
5.0000,1.628
5.0251,1.627
5.0505,1.626
5.0761,1.624
5.1020,1.623
5.1282,1.621
5.1546,1.620
5.1813,1.619
5.2083,1.617
5.2356,1.616
5.2632,1.614
5.2910,1.612
5.3191,1.610
5.3476,1.608
5.3763,1.606
5.4054,1.604
5.4348,1.602
5.4645,1.600
5.4945,1.598
5.5249,1.596
5.5556,1.593
5.5866,1.591
5.6180,1.589
5.6497,1.587
5.6818,1.584
5.7143,1.582
5.7471,1.579
5.7803,1.576
5.8140,1.573
5.8480,1.571
5.8824,1.568
5.9172,1.565
5.9524,1.562
5.9880,1.560
6.0241,1.557
6.0606,1.554
6.0976,1.551
6.1350,1.548
6.1728,1.544
6.2112,1.542
6.2500,1.538
6.2893,1.535
6.3291,1.532
6.3694,1.528
6.4103,1.524
6.4516,1.521
6.4935,1.517
6.5359,1.513
6.5789,1.509
6.6225,1.505
6.6667,1.501
6.7114,1.497
6.7568,1.492
6.8027,1.487
6.8493,1.482
6.8966,1.478
6.9444,1.473
6.9930,1.467
7.0423,1.462
7.0922,1.457
7.1429,1.452
7.1942,1.447
7.2464,1.441
7.2993,1.435
7.3529,1.428
7.4074,1.422
7.4627,1.416
7.5188,1.409
7.5758,1.402
7.6336,1.395
7.6923,1.388
7.7519,1.380
7.8125,1.371
7.8740,1.359
7.9365,1.345
8.0000,1.345
8.0645,1.336
8.1301,1.321
8.1967,1.311
8.2645,1.301
8.3333,1.294
8.4034,1.276
8.4746,1.265
8.5470,1.243
8.6207,1.236
8.6957,1.228
8.7719,1.218
8.8496,1.197
8.9286,1.173
9.0090,1.160
9.0909,1.149
9.1743,1.136
9.2593,1.113
9.3458,1.079
9.4340,1.050
9.5238,1.032
9.6154,1.014
9.7087,0.990
9.8039,0.961
9.9010,0.927
10.0000,0.890
10.1010,0.854
10.2041,0.813
10.3093,0.768
10.4167,0.717
10.5263,0.658
10.6383,0.592
10.7527,0.514
10.8696,0.401
10.9890,0.279
11.1111,0.182
11.2360,0.124
11.3636,0.098
11.4943,0.087
11.6279,0.083
11.7647,0.081
11.9048,0.079
12.0482,0.078
12.1951,0.078
12.3457,0.079
12.5000,0.082
12.6582,0.083
12.8205,0.081
12.9870,0.080
13.1579,0.079
13.3333,0.079
13.5135,0.080
13.6986,0.091
13.8889,0.105
14.0845,0.114
14.2857,0.114
14.4928,0.117
14.7059,0.135
14.9254,0.172
15.1515,0.243
15.3846,0.369
15.6250,0.664
15.8730,1.672
16.1290,0.735
16.3934,0.774
16.6667,1.062
16.9492,1.523
17.2414,2.382
17.5439,5.146
17.8571,8.559
18.1818,6.585
18.5185,5.308
