WL	n	k
0.000000515730	2.00670	3.50990
0.000000517750	2.01150	3.52130
0.000000519780	2.01640	3.53280
0.000000521820	2.02130	3.54430
0.000000523870	2.02630	3.55590
0.000000525930	2.03120	3.56760
0.000000527990	2.03630	3.57920
0.000000530060	2.04130	3.59090
0.000000532140	2.04640	3.60270
0.000000534230	2.05150	3.61450
0.000000536330	2.05670	3.62640
0.000000538430	2.06190	3.63830
0.000000540540	2.06710	3.65020
0.000000542660	2.07240	3.66220
0.000000544790	2.07770	3.67420
0.000000546930	2.08310	3.68630
0.000000549080	2.08850	3.69840
0.000000551230	2.09390	3.71060
0.000000553390	2.09940	3.72280
0.000000555560	2.10490	3.73510
0.000000557740	2.11050	3.74740
0.000000559930	2.11610	3.75970
0.000000562130	2.12180	3.77210
0.000000564340	2.12750	3.78450
0.000000566550	2.13330	3.79690
0.000000568770	2.13910	3.80940
0.000000571000	2.14500	3.82200
0.000000573240	2.15090	3.83450
0.000000575490	2.15690	3.84710
0.000000577750	2.16290	3.85980
0.000000580020	2.16900	3.87250
0.000000582290	2.17510	3.88520
0.000000584580	2.18130	3.89790
0.000000586870	2.18750	3.91070
0.000000589180	2.19380	3.92350
0.000000591490	2.20020	3.93640
0.000000593810	2.20650	3.94920
0.000000596140	2.21300	3.96220
0.000000598480	2.21950	3.97510
0.000000600820	2.22610	3.98810
0.000000603180	2.23270	4.00110
0.000000605550	2.23930	4.01410
0.000000607920	2.24610	4.02710
0.000000610310	2.25290	4.04020
0.000000612700	2.25970	4.05330
0.000000615110	2.26660	4.06650
0.000000617520	2.27360	4.07960
0.000000619950	2.28060	4.09280
0.000000622380	2.28760	4.10600
0.000000624820	2.29480	4.11920
0.000000627270	2.30200	4.13240
0.000000629730	2.30920	4.14570
0.000000632200	2.31650	4.15900
0.000000634680	2.32390	4.17230
0.000000637170	2.33130	4.18560
0.000000639670	2.33880	4.19890
0.000000642180	2.34630	4.21230
0.000000644700	2.35390	4.22560
0.000000647230	2.36150	4.23900
0.000000649770	2.36920	4.25240
0.000000652320	2.37700	4.26580
0.000000654880	2.38480	4.27920
0.000000657450	2.39270	4.29270
0.000000660030	2.40070	4.30610
0.000000662620	2.40860	4.31950
0.000000665220	2.41670	4.33300
0.000000667830	2.42480	4.34650
0.000000670450	2.43300	4.35990
0.000000673080	2.44120	4.37340
0.000000675720	2.44940	4.38690
0.000000678370	2.45780	4.40040
0.000000681030	2.46610	4.41390
0.000000683710	2.47460	4.42730
0.000000686390	2.48310	4.44080
0.000000689080	2.49160	4.45430
0.000000691790	2.50020	4.46780
0.000000694500	2.50880	4.48130
0.000000697230	2.51750	4.49480
0.000000699960	2.52630	4.50830
0.000000702710	2.53510	4.52190
0.000000705460	2.54390	4.53530
0.000000708230	2.55280	4.54880
0.000000711010	2.56180	4.56230
0.000000713800	2.57080	4.57580
0.000000716600	2.57980	4.58930
0.000000719410	2.58890	4.60280
0.000000722240	2.59800	4.61630
0.000000725070	2.60720	4.62980
0.000000727920	2.61650	4.64320
0.000000730770	2.62570	4.65670
0.000000733640	2.63500	4.67010
0.000000736520	2.64440	4.68360
0.000000739410	2.65380	4.69700
0.000000742310	2.66320	4.71050
0.000000745220	2.67270	4.72390
0.000000748140	2.68220	4.73730
0.000000751080	2.69180	4.75070
0.000000754030	2.70140	4.76410
0.000000756990	2.71100	4.77750
0.000000759960	2.72070	4.79090
0.000000762940	2.73040	4.80430
0.000000765930	2.74010	4.81770
0.000000768940	2.74990	4.83110
0.000000771950	2.75970	4.84440
0.000000774980	2.76960	4.85780
0.000000778020	2.77940	4.87110
0.000000781080	2.78930	4.88440
0.000000784140	2.79930	4.89770
0.000000787220	2.80920	4.91100
0.000000790310	2.81920	4.92440
0.000000793410	2.82930	4.93760
0.000000796520	2.83930	4.95090
0.000000799640	2.84940	4.96420
0.000000802780	2.85950	4.97750
0.000000805930	2.86960	4.99070
0.000000809090	2.87970	5.00400
0.000000812270	2.88990	5.01730
0.000000815460	2.90010	5.03050
0.000000818650	2.91030	5.04370
0.000000821870	2.92050	5.05700
0.000000825090	2.93080	5.07020
0.000000828330	2.94110	5.08340
0.000000831580	2.95130	5.09670
0.000000834840	2.96170	5.10990
0.000000838120	2.97200	5.12310
0.000000841410	2.98230	5.13630
0.000000844710	2.99270	5.14950
0.000000848020	3.00300	5.16270
0.000000851350	3.01340	5.17600
0.000000854690	3.02380	5.18920
0.000000858040	3.03420	5.20240
0.000000861410	3.04470	5.21560
0.000000864790	3.05510	5.22880
0.000000868180	3.06560	5.24210
0.000000871590	3.07600	5.25530
0.000000875010	3.08650	5.26850
0.000000878440	3.09700	5.28180
0.000000881890	3.10750	5.29500
0.000000885350	3.11800	5.30830
0.000000888820	3.12850	5.32160
0.000000892310	3.13900	5.33490
0.000000895810	3.14950	5.34820
0.000000899330	3.16010	5.36150
0.000000902850	3.17060	5.37480
0.000000906400	3.18120	5.38820
0.000000909950	3.19180	5.40150
0.000000913520	3.20240	5.41490
0.000000917110	3.21300	5.42830
0.000000920710	3.22360	5.44170
0.000000924320	3.23420	5.45520
0.000000927950	3.24480	5.46870
0.000000931590	3.25540	5.48210
0.000000935240	3.26610	5.49570
0.000000938910	3.27680	5.50920
0.000000942590	3.28740	5.52280
0.000000946290	3.29810	5.53640
0.000000950010	3.30880	5.55000
0.000000953730	3.31950	5.56370
0.000000957480	3.33030	5.57740
0.000000961230	3.34100	5.59110
0.000000965000	3.35180	5.60490
0.000000968790	3.36260	5.61870
0.000000972590	3.37340	5.63260
0.000000976410	3.38420	5.64650
0.000000980240	3.39500	5.66040
0.000000984080	3.40590	5.67440
0.000000987950	3.41680	5.68840
0.000000991820	3.42770	5.70240
0.000000995710	3.43870	5.71650
0.000000999620	3.44970	5.73070
0.000001003500	3.46070	5.74490
0.000001007500	3.47170	5.75910
0.000001011400	3.48280	5.77340
0.000001015400	3.49390	5.78780
0.000001019400	3.50510	5.80220
0.000001023400	3.51630	5.81660
0.000001027400	3.52750	5.83110
0.000001031400	3.53880	5.84570
0.000001035500	3.55010	5.86030
0.000001039500	3.56150	5.87490
0.000001043600	3.57290	5.88970
0.000001047700	3.58440	5.90440
0.000001051800	3.59600	5.91930
0.000001056000	3.60760	5.93420
0.000001060100	3.61920	5.94910
0.000001064300	3.63100	5.96410
0.000001068400	3.64280	5.97910
0.000001072600	3.65470	5.99430
0.000001076800	3.66660	6.00940
0.000001081100	3.67860	6.02460
0.000001085300	3.69080	6.03990
0.000001089600	3.70300	6.05520
0.000001093800	3.71520	6.07060
0.000001098100	3.72760	6.08600
0.000001102400	3.74010	6.10150
0.000001106800	3.75270	6.11710
0.000001111100	3.76530	6.13260
0.000001115500	3.77810	6.14830
0.000001119800	3.79100	6.16390
